Time,TeaserLoad_c8d9b67d.meeting.TAir
12960000,293.15
12960000,293.064
12960000,293.064
12960100,292.837
12960100,292.837
12960200,292.738
12960200,292.738
12960200,292.674
12960200,292.674
12960200,292.635
12960200,292.635
12960300,292.555
12960500,292.39
12960500,292.39
12960600,292.359
12960900,292.306
12961200,292.292
12961500,292.287
12961800,292.283
12962100,292.28
12962400,292.276
12962700,292.273
12963000,292.269
12963300,292.266
12963600,292.262
12963900,292.259
12964200,292.256
12964500,292.252
12964800,292.249
12965100,292.246
12965400,292.243
12965700,292.241
12966000,292.238
12966300,292.235
12966600,292.232
12966900,292.229
12967200,292.226
12967500,292.223
12967800,292.221
12968100,292.218
12968400,292.215
12968700,292.212
12969000,292.209
12969300,292.206
12969600,292.203
12969900,292.2
12970200,292.197
12970500,292.194
12970800,292.191
12971100,292.188
12971400,292.184
12971700,292.181
12972000,292.178
12972300,292.175
12972600,292.171
12972900,292.168
12973200,292.167
12973500,292.166
12973800,292.167
12974100,292.17
12974400,292.174
12974700,292.178
12975000,292.184
12975300,292.19
12975600,292.196
12975900,292.203
12976200,292.21
12976500,292.216
12976800,292.223
12977100,292.229
12977400,292.234
12977700,292.239
12978000,292.243
12978300,292.246
12978600,292.25
12978900,292.255
12979200,292.258
12979500,292.26
12979800,292.261
12980100,292.261
12980400,292.261
12980700,292.263
12981000,292.264
12981300,292.264
12981600,292.263
12981900,292.262
12982200,292.261
12982500,292.26
12982800,292.258
12983100,292.257
12983400,292.257
12983700,292.257
12984000,292.256
12984300,292.256
12984600,292.256
12984900,292.256
12985200,292.256
12985500,292.266
12985800,292.286
12986100,292.311
12986400,292.337
12986700,292.366
12987000,292.396
12987300,292.427
12987600,292.459
12987900,292.492
12988200,292.527
12988500,292.562
12988800,292.599
12989100,292.637
12989400,292.676
12989700,292.716
12990000,292.756
12990300,292.797
12990600,292.839
12990900,292.881
12991200,292.923
12991500,292.964
12991800,293.006
12992100,293.049
12992400,293.092
12992700,293.136
12993000,293.189
12993300,293.211
12993600,293.245
12993900,293.293
12994200,293.345
12994500,293.401
12994800,293.458
12995100,293.515
12995400,293.573
12995700,293.631
12996000,293.69
12996300,293.748
12996600,293.805
12996900,293.861
12997200,293.917
12997500,293.972
12997800,294.028
12998100,294.084
12998400,294.14
12998700,294.197
12999000,294.255
12999300,294.309
12999600,294.365
12999900,294.407
13000200,294.434
13000500,294.454
13000800,294.472
13001100,294.488
13001400,294.503
13001700,294.516
13002000,294.53
13002300,294.542
13002600,294.554
13002900,294.566
13003200,294.577
13003500,294.572
13003800,294.546
13004100,294.513
13004400,294.476
13004700,294.438
13005000,294.398
13005300,294.357
13005600,294.316
13005900,294.274
13006200,294.231
13006500,294.187
13006800,294.142
13007100,294.126
13007400,294.142
13007700,294.171
13008000,294.204
13008300,294.239
13008600,294.274
13008900,294.309
13009200,294.344
13009500,294.378
13009800,294.413
13010100,294.447
13010400,294.481
13010700,294.517
13011000,294.556
13011300,294.596
13011600,294.636
13011900,294.676
13012200,294.717
13012500,294.757
13012800,294.796
13013100,294.836
13013400,294.876
13013700,294.915
13014000,294.954
13014300,294.983
13014600,295.001
13014900,295.015
13015200,295.027
13015500,295.038
13015800,295.049
13016100,295.059
13016400,295.07
13016700,295.08
13017000,295.091
13017300,295.1
13017600,295.109
13017900,295.096
13018200,295.056
13018500,295.005
13018800,294.951
13019100,294.894
13019400,294.837
13019700,294.779
13020000,294.72
13020300,294.662
13020600,294.604
13020900,294.547
13021200,294.491
13021500,294.445
13021800,294.411
13022100,294.383
13022400,294.356
13022700,294.33
13023000,294.303
13023300,294.277
13023600,294.251
13023900,294.225
13024200,294.199
13024500,294.172
13024800,294.141
13025100,294.112
13025400,294.085
13025700,294.057
13026000,294.027
13026300,293.998
13026600,293.969
13026900,293.937
13027200,293.907
13027500,293.877
13027800,293.844
13028100,293.812
13028400,293.778
13028700,293.754
13029000,293.74
13029300,293.73
13029600,293.721
13029900,293.71
13030200,293.7
13030500,293.693
13030800,293.686
13031100,293.679
13031400,293.673
13031700,293.667
13032000,293.662
13032300,293.657
13032600,293.653
13032900,293.649
13033200,293.645
13033500,293.641
13033800,293.637
13034100,293.633
13034400,293.63
13034700,293.626
13035000,293.623
13035300,293.619
13035600,293.616
13035900,293.613
13036200,293.609
13036500,293.606
13036800,293.603
13037100,293.599
13037400,293.596
13037700,293.593
13038000,293.59
13038300,293.586
13038600,293.583
13038900,293.58
13039200,293.576
13039500,293.573
13039800,293.57
13040100,293.566
13040400,293.563
13040700,293.559
13041000,293.556
13041300,293.552
13041600,293.548
13041900,293.545
13042200,293.541
13042500,293.538
13042800,293.534
13043100,293.53
13043400,293.527
13043700,293.523
13044000,293.52
13044300,293.516
13044600,293.513
13044900,293.509
13045200,293.506
13045500,293.502
13045800,293.499
13046100,293.495
13046400,293.492
13046400,293.492
